,person,track,datetime,X,Y,accuracy,speed,heading,modality,travday,tripnr,stagenr,purfrom,purto,purpose
6519,2420,1566559,2014-09-23 08:21:45,4.93584152216,51.6247253091,10,0.0,-1,2,2014-09-23,1.0,1.0,home,betaaldwerk,EBIKE
6520,2420,1566559,2014-09-23 08:22:07,4.93354731018,51.6247714941,10,21.22,265,2,2014-09-23,1.0,1.0,home,betaaldwerk,EBIKE
6521,2420,1566559,2014-09-23 08:22:31,4.93128514816,51.6244384393,10,22.9653,258,2,2014-09-23,1.0,1.0,home,betaaldwerk,EBIKE
6522,2420,1566559,2014-09-23 08:22:53,4.92910802521,51.6240980151,10,23.2157,256,2,2014-09-23,1.0,1.0,home,betaaldwerk,EBIKE
6523,2420,1566559,2014-09-23 08:22:57,4.92870297247,51.6240534843,5,24.8639,259,2,2014-09-23,1.0,1.0,home,betaaldwerk,EBIKE
6524,2420,1566559,2014-09-23 08:23:19,4.92652436167,51.623754172,10,23.6048,253,2,2014-09-23,1.0,1.0,home,betaaldwerk,EBIKE
6525,2420,1566559,2014-09-23 08:23:28,4.92585478646,51.6237251937,10,13.6878,318,2,2014-09-23,1.0,1.0,home,betaaldwerk,EBIKE
6526,2420,1566559,2014-09-23 08:23:40,4.92529972905,51.6243643204,5,23.699,319,2,2014-09-23,1.0,1.0,home,betaaldwerk,EBIKE
6527,2420,1566559,2014-09-23 08:24:04,4.92342979061,51.6251812749,10,22.5207,293,2,2014-09-23,1.0,1.0,home,betaaldwerk,EBIKE
6528,2420,1566559,2014-09-23 08:24:22,4.92189055914,51.625260099,10,17.3509,356,2,2014-09-23,1.0,1.0,home,betaaldwerk,EBIKE
6529,2420,1566559,2014-09-23 08:24:36,4.92179271857,51.6261202844,10,17.5372,315,2,2014-09-23,1.0,1.0,home,betaaldwerk,EBIKE
6530,2420,1566559,2014-09-23 08:24:38,4.92162980994,51.6261874715,10,24.0233,284,2,2014-09-23,1.0,1.0,home,betaaldwerk,EBIKE
6531,2420,1566559,2014-09-23 08:24:44,4.92103911855,51.6262093144,5,24.4929,267,2,2014-09-23,1.0,1.0,home,betaaldwerk,EBIKE
6532,2420,1566559,2014-09-23 08:25:06,4.91881650317,51.6261550561,5,23.0343,269,2,2014-09-23,1.0,1.0,home,betaaldwerk,EBIKE
6533,2420,1566559,2014-09-23 08:25:21,4.91751668616,51.6261216882,10,18.9032,214,2,2014-09-23,1.0,1.0,home,betaaldwerk,EBIKE
6534,2420,1566559,2014-09-23 08:25:47,4.91685920644,51.6247442896,10,21.463,194,2,2014-09-23,1.0,1.0,home,betaaldwerk,EBIKE
6535,2420,1566559,2014-09-23 08:26:11,4.91641907813,51.623413573,10,23.2009,192,2,2014-09-23,1.0,1.0,home,betaaldwerk,EBIKE
6536,2420,1566559,2014-09-23 08:26:22,4.91614920444,51.6227105382,5,23.9771,195,2,2014-09-23,1.0,1.0,home,betaaldwerk,EBIKE
6537,2420,1566559,2014-09-23 08:26:36,4.91580450393,51.6218573546,5,23.3099,194,2,2014-09-23,1.0,1.0,home,betaaldwerk,EBIKE
6538,2420,1566559,2014-09-23 08:26:57,4.91516363593,51.6204520076,5,23.646,197,2,2014-09-23,1.0,1.0,home,betaaldwerk,EBIKE
6539,2420,1566559,2014-09-23 08:27:26,4.91392000258,51.6192487115,5,17.8793,218,2,2014-09-23,1.0,1.0,home,betaaldwerk,EBIKE
